match_no,group,team_a,team_b,venue,utc_datetime,espn_event_id
22,L,England,Croatia,"AT&T Stadium, Arlington",2026-06-17T20:00:00Z,760437
21,L,Ghana,Panama,"BMO Field, Toronto",2026-06-17T23:00:00Z,760434
24,K,Uzbekistan,Colombia,"Estadio Azteca, Mexico City",2026-06-18T02:00:00Z,760436
25,A,Czechia,South Africa,"Mercedes-Benz Stadium, Atlanta",2026-06-18T16:00:00Z,760438
26,B,Switzerland,Bosnia and Herzegovina,"SoFi Stadium, Inglewood",2026-06-18T19:00:00Z,760439
27,B,Canada,Qatar,"BC Place, Vancouver",2026-06-18T22:00:00Z,760440
28,A,Mexico,South Korea,"Estadio Akron, Zapopan",2026-06-19T01:00:00Z,760441
32,D,United States,Australia,"Lumen Field, Seattle",2026-06-19T19:00:00Z,760442
30,C,Scotland,Morocco,"Gillette Stadium, Foxborough",2026-06-19T22:00:00Z,760445
29,C,Brazil,Haiti,"Lincoln Financial Field, Philadelphia",2026-06-20T00:30:00Z,760444
31,D,Turkiye,Paraguay,"Levi's Stadium, Santa Clara",2026-06-20T03:00:00Z,760443
35,F,Netherlands,Sweden,"NRG Stadium, Houston",2026-06-20T17:00:00Z,760447
33,E,Germany,Ivory Coast,"BMO Field, Toronto",2026-06-20T20:00:00Z,760448
34,E,Ecuador,Curacao,"Arrowhead Stadium, Kansas City",2026-06-21T00:00:00Z,760446
36,F,Tunisia,Japan,"Estadio BBVA, Guadalupe",2026-06-21T04:00:00Z,760449
38,H,Spain,Saudi Arabia,"Mercedes-Benz Stadium, Atlanta",2026-06-21T16:00:00Z,760453
39,G,Belgium,Iran,"SoFi Stadium, Inglewood",2026-06-21T19:00:00Z,760451
37,H,Uruguay,Cape Verde,"Hard Rock Stadium, Miami Gardens",2026-06-21T22:00:00Z,760450
40,G,New Zealand,Egypt,"BC Place, Vancouver",2026-06-22T01:00:00Z,760452
43,J,Argentina,Austria,"AT&T Stadium, Arlington",2026-06-22T17:00:00Z,760456
42,I,France,Iraq,"Lincoln Financial Field, Philadelphia",2026-06-22T21:00:00Z,760457
41,I,Norway,Senegal,"MetLife Stadium, East Rutherford",2026-06-23T00:00:00Z,760454
44,J,Jordan,Algeria,"Levi's Stadium, Santa Clara",2026-06-23T03:00:00Z,760455
47,K,Portugal,Uzbekistan,"NRG Stadium, Houston",2026-06-23T17:00:00Z,760461
45,L,England,Ghana,"Gillette Stadium, Foxborough",2026-06-23T20:00:00Z,760458
46,L,Panama,Croatia,"BMO Field, Toronto",2026-06-23T23:00:00Z,760460
48,K,Colombia,DR Congo,"Estadio Akron, Zapopan",2026-06-24T02:00:00Z,760459
51,B,Switzerland,Canada,"BC Place, Vancouver",2026-06-24T19:00:00Z,760463
52,B,Bosnia and Herzegovina,Qatar,"Lumen Field, Seattle",2026-06-24T19:00:00Z,760462
49,C,Scotland,Brazil,"Hard Rock Stadium, Miami Gardens",2026-06-24T22:00:00Z,760465
50,C,Morocco,Haiti,"Mercedes-Benz Stadium, Atlanta",2026-06-24T22:00:00Z,760464
53,A,Czechia,Mexico,"Estadio Azteca, Mexico City",2026-06-25T01:00:00Z,760467
54,A,South Africa,South Korea,"Estadio BBVA, Guadalupe",2026-06-25T01:00:00Z,760466
55,E,Curacao,Ivory Coast,"Lincoln Financial Field, Philadelphia",2026-06-25T20:00:00Z,760473
56,E,Ecuador,Germany,"MetLife Stadium, East Rutherford",2026-06-25T20:00:00Z,760468
57,F,Japan,Sweden,"AT&T Stadium, Arlington",2026-06-25T23:00:00Z,760471
58,F,Tunisia,Netherlands,"Arrowhead Stadium, Kansas City",2026-06-25T23:00:00Z,760472
59,D,Turkiye,United States,"SoFi Stadium, Inglewood",2026-06-26T02:00:00Z,760470
60,D,Paraguay,Australia,"Levi's Stadium, Santa Clara",2026-06-26T02:00:00Z,760469
61,I,Norway,France,"Gillette Stadium, Foxborough",2026-06-26T19:00:00Z,760475
62,I,Senegal,Iraq,"BMO Field, Toronto",2026-06-26T19:00:00Z,760474
65,H,Cape Verde,Saudi Arabia,"NRG Stadium, Houston",2026-06-27T00:00:00Z,760478
66,H,Uruguay,Spain,"Estadio Akron, Zapopan",2026-06-27T00:00:00Z,760479
63,G,Egypt,Iran,"Lumen Field, Seattle",2026-06-27T03:00:00Z,760476
64,G,New Zealand,Belgium,"BC Place, Vancouver",2026-06-27T03:00:00Z,760477
67,L,Panama,England,"MetLife Stadium, East Rutherford",2026-06-27T21:00:00Z,760485
68,L,Croatia,Ghana,"Lincoln Financial Field, Philadelphia",2026-06-27T21:00:00Z,760480
71,K,Colombia,Portugal,"Hard Rock Stadium, Miami Gardens",2026-06-27T23:30:00Z,760481
72,K,DR Congo,Uzbekistan,"Mercedes-Benz Stadium, Atlanta",2026-06-27T23:30:00Z,760482
69,J,Algeria,Austria,"Arrowhead Stadium, Kansas City",2026-06-28T02:00:00Z,760484
70,J,Jordan,Argentina,"AT&T Stadium, Arlington",2026-06-28T02:00:00Z,760483
